0,1,2,3,4,5
0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,2.0
2.0,0.0,0.0,1.0,0.0,0.0
2.0,0.0,0.0,2.0,0.0,1.0
1.0,0.0,0.0,3.0,0.0,0.0
3.0,0.0,0.0,4.0,0.0,3.0
5.0,0.0,0.0,5.0,0.0,3.0
3.0,0.0,0.0,7.0,0.0,0.0
3.0,0.0,0.0,7.0,0.0,0.0
5.0,0.0,0.0,8.0,1.0,4.0
4.0,0.0,0.0,9.0,1.0,0.0
4.0,0.0,0.0,10.0,1.0,1.0
7.0,0.0,0.0,10.0,1.0,3.0
9.0,0.0,0.0,11.0,1.0,3.0
8.0,0.0,0.0,13.0,1.0,1.0
12.0,1.0,0.0,13.0,1.0,5.0
15.0,1.0,0.0,17.0,2.0,8.0
19.0,1.0,0.0,19.0,2.0,6.0
26.0,2.0,0.0,22.0,2.0,11.0
35.0,2.0,0.0,29.0,3.0,17.0
39.0,3.0,0.0,31.0,5.0,9.0
61.0,4.0,0.0,36.0,6.0,29.0
81.0,5.0,0.0,42.0,8.0,29.0
108.0,8.0,0.0,47.0,11.0,38.0
142.0,8.0,1.0,57.0,18.0,52.0
182.0,7.0,1.0,76.0,24.0,64.0
203.0,11.0,0.0,93.0,29.0,46.0
236.0,14.0,0.0,110.0,35.0,59.0
263.0,15.0,1.0,131.0,42.0,57.0
276.0,18.0,1.0,160.0,53.0,56.0
281.0,17.0,2.0,188.0,63.0,43.0
292.0,16.0,4.0,206.0,73.0,40.0
309.0,19.0,3.0,231.0,78.0,49.0
298.0,19.0,3.0,260.0,87.0,27.0
288.0,19.0,3.0,288.0,97.0,28.0
279.0,20.0,3.0,315.0,105.0,27.0
274.0,21.0,3.0,333.0,109.0,18.0
269.0,23.0,2.0,361.0,113.0,28.0
262.0,22.0,2.0,385.0,123.0,26.0
259.0,23.0,2.0,400.0,132.0,22.0
246.0,24.0,3.0,424.0,142.0,23.0
241.0,24.0,3.0,442.0,150.0,21.0
219.0,25.0,3.0,462.0,165.0,14.0
213.0,26.0,3.0,480.0,172.0,20.0
216.0,25.0,4.0,493.0,177.0,21.0
206.0,25.0,4.0,517.0,182.0,19.0
206.0,26.0,3.0,533.0,184.0,18.0
203.0,27.0,3.0,539.0,192.0,12.0
191.0,27.0,4.0,555.0,196.0,9.0
184.0,27.0,5.0,566.0,204.0,13.0
174.0,29.0,3.0,585.0,209.0,14.0
165.0,29.0,3.0,605.0,213.0,15.0
150.0,30.0,2.0,621.0,219.0,7.0
142.0,31.0,2.0,632.0,227.0,12.0
135.0,30.0,3.0,644.0,231.0,9.0
123.0,30.0,3.0,655.0,239.0,7.0
115.0,30.0,3.0,664.0,246.0,8.0
110.0,29.0,2.0,675.0,250.0,8.0
110.0,29.0,2.0,682.0,252.0,9.0
98.0,30.0,1.0,692.0,256.0,2.0
82.0,29.0,3.0,706.0,262.0,5.0
73.0,29.0,3.0,713.0,265.0,1.0
76.0,29.0,3.0,714.0,267.0,6.0
70.0,28.0,3.0,721.0,270.0,3.0
63.0,27.0,4.0,725.0,275.0,2.0
64.0,25.0,4.0,730.0,276.0,5.0
61.0,23.0,5.0,734.0,281.0,5.0
59.0,23.0,5.0,736.0,285.0,4.0
57.0,22.0,4.0,739.0,289.0,3.0
55.0,21.0,4.0,744.0,290.0,3.0
58.0,21.0,3.0,746.0,290.0,4.0
51.0,19.0,5.0,752.0,292.0,1.0
46.0,18.0,6.0,756.0,295.0,2.0
40.0,18.0,5.0,763.0,296.0,1.0
39.0,16.0,5.0,767.0,297.0,2.0
39.0,13.0,8.0,767.0,299.0,2.0
39.0,13.0,7.0,771.0,299.0,3.0
36.0,13.0,6.0,775.0,300.0,1.0
32.0,12.0,5.0,780.0,302.0,1.0
30.0,11.0,6.0,782.0,303.0,1.0
25.0,11.0,6.0,786.0,304.0,0.0
23.0,10.0,5.0,789.0,306.0,1.0
19.0,10.0,4.0,790.0,311.0,1.0
20.0,9.0,3.0,793.0,311.0,2.0
18.0,9.0,3.0,793.0,313.0,0.0
17.0,9.0,2.0,794.0,314.0,0.0
16.0,9.0,2.0,795.0,314.0,0.0
