0,1,2,3,4,5
0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0,0.0,0.0
0.0,0.0,0.0,3.0,0.0,0.0
0.0,0.0,0.0,3.0,0.0,0.0
3.0,0.0,0.0,3.0,0.0,3.0
3.0,0.0,0.0,3.0,0.0,0.0
3.0,0.0,0.0,6.0,0.0,3.0
0.0,0.0,0.0,9.0,0.0,0.0
4.0,0.0,0.0,9.0,0.0,4.0
4.0,0.0,0.0,9.0,0.0,0.0
4.0,0.0,0.0,9.0,0.0,0.0
4.0,0.0,0.0,9.0,0.0,0.0
6.0,0.0,0.0,12.0,1.0,6.0
4.0,0.0,0.0,14.0,1.0,0.0
4.0,0.0,0.0,14.0,1.0,0.0
5.0,0.0,0.0,14.0,1.0,1.0
10.0,0.0,0.0,14.0,1.0,5.0
10.0,0.0,0.0,14.0,1.0,0.0
15.0,0.0,0.0,14.0,1.0,5.0
13.0,0.0,0.0,21.0,2.0,6.0
13.0,0.0,0.0,28.0,2.0,7.0
18.0,0.0,0.0,33.0,2.0,10.0
35.0,0.0,0.0,36.0,3.0,21.0
42.0,1.0,0.0,39.0,4.0,12.0
60.0,1.0,0.0,42.0,7.0,24.0
96.0,1.0,0.0,45.0,7.0,39.0
114.0,2.0,0.0,48.0,13.0,28.0
140.0,2.0,1.0,55.0,23.0,44.0
175.0,2.0,1.0,74.0,35.0,66.0
192.0,7.0,0.0,96.0,40.0,48.0
226.0,9.0,0.0,111.0,48.0,59.0
268.0,12.0,1.0,134.0,57.0,78.0
277.0,15.0,1.0,168.0,74.0,63.0
288.0,15.0,1.0,196.0,90.0,55.0
298.0,15.0,2.0,217.0,99.0,41.0
320.0,19.0,1.0,245.0,104.0,58.0
313.0,19.0,1.0,273.0,114.0,31.0
311.0,19.0,1.0,295.0,121.0,27.0
290.0,20.0,1.0,323.0,129.0,16.0
279.0,20.0,1.0,343.0,137.0,17.0
282.0,23.0,1.0,373.0,140.0,39.0
266.0,22.0,1.0,399.0,157.0,26.0
267.0,24.0,1.0,410.0,173.0,30.0
247.0,25.0,1.0,437.0,192.0,27.0
242.0,25.0,1.0,457.0,198.0,21.0
216.0,25.0,1.0,476.0,214.0,9.0
201.0,24.0,1.0,488.0,231.0,13.0
202.0,23.0,2.0,507.0,232.0,21.0
180.0,22.0,2.0,536.0,239.0,13.0
185.0,24.0,2.0,546.0,240.0,18.0
181.0,25.0,2.0,552.0,247.0,10.0
175.0,24.0,3.0,567.0,248.0,10.0
170.0,24.0,4.0,576.0,255.0,12.0
162.0,24.0,3.0,590.0,259.0,9.0
143.0,24.0,3.0,607.0,265.0,4.0
135.0,22.0,2.0,620.0,268.0,5.0
126.0,22.0,2.0,630.0,275.0,8.0
113.0,22.0,2.0,643.0,278.0,3.0
101.0,22.0,2.0,649.0,291.0,7.0
94.0,22.0,2.0,655.0,294.0,2.0
90.0,22.0,1.0,668.0,296.0,10.0
90.0,22.0,1.0,675.0,297.0,8.0
80.0,22.0,1.0,683.0,300.0,1.0
67.0,23.0,2.0,694.0,305.0,5.0
58.0,23.0,2.0,701.0,307.0,0.0
60.0,23.0,2.0,701.0,308.0,3.0
52.0,20.0,4.0,709.0,310.0,1.0
48.0,19.0,5.0,710.0,314.0,1.0
46.0,19.0,4.0,714.0,314.0,1.0
44.0,18.0,4.0,716.0,318.0,3.0
42.0,18.0,4.0,719.0,321.0,4.0
42.0,18.0,3.0,721.0,324.0,4.0
41.0,17.0,4.0,724.0,325.0,3.0
45.0,17.0,4.0,725.0,325.0,5.0
42.0,14.0,7.0,728.0,325.0,0.0
34.0,14.0,6.0,733.0,329.0,0.0
27.0,14.0,6.0,740.0,330.0,1.0
25.0,12.0,6.0,745.0,332.0,3.0
29.0,8.0,10.0,745.0,333.0,5.0
30.0,8.0,8.0,750.0,333.0,4.0
25.0,8.0,5.0,755.0,336.0,0.0
23.0,8.0,5.0,757.0,337.0,1.0
23.0,6.0,7.0,758.0,337.0,1.0
17.0,6.0,7.0,762.0,339.0,0.0
17.0,5.0,6.0,763.0,341.0,1.0
14.0,5.0,3.0,766.0,344.0,0.0
16.0,5.0,3.0,768.0,344.0,4.0
15.0,5.0,3.0,768.0,345.0,0.0
12.0,5.0,3.0,768.0,348.0,0.0
9.0,5.0,3.0,771.0,348.0,0.0
